iter	RMSE
0	41.45102581
1	39.39654128
2	37.68672823
3	36.20052777
4	34.94916763
5	33.9290172
6	33.05100628
7	32.34774473
8	31.72671207
9	31.21040259
10	30.77315775
11	30.42566569
12	30.13235804
13	29.89338222
14	29.68972663
15	29.52410706
16	29.36690127
17	29.25542207
18	29.15601172
19	29.06583098
20	28.99143266
21	28.93560385
22	28.88624868
23	28.83924711
24	28.79486273
25	28.76523631
26	28.7408657
27	28.72136319
28	28.70034662
29	28.68218477
30	28.66540546
31	28.64576061
32	28.62823384
33	28.60451045
34	28.57225417
35	28.5514242
36	28.53722898
37	28.52740837
38	28.51787018
39	28.49959925
40	28.48582887
41	28.47767241
42	28.47044038
43	28.44365372
44	28.43462012
45	28.42160708
46	28.40930826
47	28.40345293
48	28.39550105
49	28.38905464
50	28.38039193
51	28.37457098
52	28.36674616
53	28.35870282
54	28.34356114
55	28.33604031
56	28.32177053
57	28.3150234
58	28.30071251
59	28.29562272
60	28.28673341
61	28.27673163
62	28.25272017
63	28.24683616
64	28.23494689
65	28.21945671
66	28.18897023
67	28.17020239
68	28.14721494
69	28.13544363
70	28.12833648
71	28.11742463
72	28.11091868
73	28.10699263
74	28.0993659
75	28.08530556
76	28.06834812
77	28.06027021
78	28.05326819
79	28.0446348
80	28.03628926
81	28.02924592
82	28.01911237
83	28.01523022
84	28.01043176
85	28.00176979
86	27.99412353
87	27.98967251
88	27.98603604
89	27.97783592
90	27.96915948
91	27.96126784
92	27.95613158
93	27.95054101
94	27.94351882
95	27.93956163
96	27.93161995
97	27.90798399
98	27.88071877
99	27.8760303
100	27.86987338
101	27.86696578
102	27.85671357
103	27.84180513
104	27.8358738
105	27.82818918
106	27.82353558
107	27.81928744
108	27.80152944
109	27.79129806
110	27.78633789
111	27.7571167
112	27.75171982
113	27.74919148
114	27.74020459
115	27.73707418
116	27.7298076
117	27.72214071
118	27.69647135
119	27.69052419
120	27.68474661
121	27.6790716
122	27.67482693
123	27.66461053
124	27.66082128
125	27.65688399
126	27.65185451
127	27.64400955
128	27.63529325
129	27.62548483
130	27.61990436
131	27.6152917
132	27.60768694
133	27.60444743
134	27.59819371
135	27.59198293
136	27.58637505
137	27.58252511
138	27.55845151
139	27.55442047
140	27.54385892
141	27.54043727
142	27.53314282
143	27.52939736
144	27.52631647
145	27.52151819
146	27.5160888
147	27.50959119
148	27.5069837
149	27.5009643
150	27.49804018
151	27.49239022
152	27.48047929
153	27.475576
154	27.46933226
155	27.46400075
156	27.45946802
157	27.43771252
158	27.43235739
159	27.41580453
160	27.41162358
161	27.40916068
162	27.40636957
163	27.39077835
164	27.38548097
165	27.37764146
166	27.36753806
167	27.36499878
168	27.35643665
169	27.34175547
170	27.3358155
171	27.32938336
172	27.32589021
173	27.32238021
174	27.31907919
175	27.31262665
176	27.2923008
177	27.2893785
178	27.28579351
179	27.28102801
180	27.27757509
181	27.27387803
182	27.25453072
183	27.25121453
184	27.24474929
185	27.23758504
186	27.23551563
187	27.22987572
188	27.22669129
189	27.2236662
190	27.20231456
191	27.19573092
192	27.19255332
193	27.19045398
194	27.18710448
195	27.18298253
196	27.17897629
197	27.17702015
198	27.16913022
199	27.1639746
200	27.15912404
201	27.15455684
202	27.14977437
203	27.14706453
204	27.13623214
205	27.12672941
206	27.12569341
207	27.12322597
208	27.11558219
209	27.11073096
210	27.10817598
211	27.10345691
212	27.1016177
213	27.08788774
214	27.08697947
215	27.07951682
216	27.07297424
217	27.07010648
218	27.05581899
219	27.04843716
220	27.04202002
221	27.03763159
222	27.0302227
223	27.01726152
224	27.01070597
225	27.00835811
226	27.00100513
227	26.99684644
228	26.99413331
229	26.99330784
230	26.9908487
231	26.98885276
232	26.98639994
233	26.97464856
234	26.96882074
235	26.96651059
236	26.96292939
237	26.95872777
238	26.95579582
239	26.95292359
240	26.94963938
241	26.94808837
242	26.94293012
243	26.93740645
244	26.93589879
245	26.93374062
246	26.93218559
247	26.9269808
248	26.92547267
249	26.92241923
250	26.91047182
251	26.90043574
252	26.89766859
253	26.89427948
254	26.89138399
255	26.88673521
256	26.88090987
257	26.87728848
258	26.87681521
259	26.86045088
260	26.85801164
261	26.85504781
262	26.85218274
263	26.84847411
264	26.83714785
265	26.83462991
266	26.83279452
267	26.828622
268	26.82599587
269	26.81515936
270	26.81230164
271	26.80605898
272	26.80239058
273	26.79877314
274	26.78801894
275	26.78404549
276	26.78285952
277	26.78014712
278	26.77427378
279	26.77081308
280	26.76908141
281	26.76428336
282	26.7625189
283	26.74639894
284	26.74383262
285	26.74066534
286	26.73810868
287	26.73321125
288	26.73017604
289	26.72775106
290	26.72505838
291	26.72184204
292	26.71868905
293	26.71638953
294	26.71323681
295	26.71020628
296	26.70699734
297	26.70222479
298	26.69784987
299	26.69429291
300	26.69143344
301	26.68593016
302	26.68560634
303	26.67052379
304	26.66412567
305	26.65915964
306	26.65494248
307	26.65043152
308	26.64621043
309	26.63203855
310	26.6210631
311	26.61835362
312	26.6137671
313	26.60625197
314	26.60418787
315	26.60076806
316	26.59816703
317	26.58572544
318	26.57821804
319	26.57518502
320	26.57067895
321	26.56676701
322	26.5634934
323	26.56158817
324	26.55923767
325	26.55542761
326	26.54338103
