iter	Passed	Remaining
0	11	11638
1	26	13299
2	41	13864
3	55	13926
4	69	13798
5	83	13794
6	97	13786
7	107	13348
8	122	13475
9	136	13553
10	150	13492
11	164	13581
12	179	13618
13	193	13630
14	207	13635
15	228	14081
16	248	14380
17	265	14490
18	280	14503
19	296	14536
20	311	14539
21	326	14512
22	341	14498
23	354	14430
24	369	14420
25	384	14400
26	398	14356
27	412	14329
28	426	14270
29	441	14263
30	458	14323
31	472	14306
32	488	14301
33	503	14305
34	519	14309
35	535	14330
36	549	14298
37	563	14257
38	575	14192
39	590	14166
40	609	14250
41	623	14211
42	637	14192
43	652	14167
44	667	14161
45	683	14177
46	699	14181
47	715	14182
48	729	14156
49	744	14151
50	758	14120
51	775	14138
52	788	14096
53	803	14073
54	817	14049
55	831	14023
56	846	13999
57	860	13968
58	874	13939
59	890	13943
60	904	13925
61	920	13931
62	935	13920
63	950	13894
64	966	13900
65	982	13898
66	995	13860
67	1010	13854
68	1026	13845
69	1040	13817
70	1053	13783
71	1067	13758
72	1082	13746
73	1098	13750
74	1114	13741
75	1130	13746
76	1147	13751
77	1161	13735
78	1175	13709
79	1189	13682
80	1204	13671
81	1222	13682
82	1245	13760
83	1259	13737
84	1273	13704
85	1287	13681
86	1300	13649
87	1315	13629
88	1330	13621
89	1346	13610
90	1364	13634
91	1379	13614
92	1394	13600
93	1409	13586
94	1423	13559
95	1437	13536
96	1451	13515
97	1466	13500
98	1479	13460
99	1493	13438
100	1506	13413
101	1521	13398
102	1537	13390
103	1553	13385
104	1571	13398
105	1587	13385
106	1605	13400
107	1619	13374
108	1633	13352
109	1647	13331
110	1661	13306
111	1676	13291
112	1689	13262
113	1703	13237
114	1717	13217
115	1732	13200
116	1755	13248
117	1770	13235
118	1785	13216
119	1800	13201
120	1814	13181
121	1829	13167
122	1843	13144
123	1857	13123
124	1872	13104
125	1886	13085
126	1899	13054
127	1913	13034
128	1928	13023
129	1943	13003
130	1958	12993
131	1975	12987
132	1992	12986
133	2008	12983
134	2024	12972
135	2038	12949
136	2051	12925
137	2065	12904
138	2080	12885
139	2094	12868
140	2108	12847
141	2122	12825
142	2136	12802
143	2149	12776
144	2165	12769
145	2180	12755
146	2196	12745
147	2223	12802
148	2240	12797
149	2254	12778
150	2268	12753
151	2282	12735
152	2296	12712
153	2309	12688
154	2324	12671
155	2338	12651
156	2351	12628
157	2365	12605
158	2380	12593
159	2397	12585
160	2411	12565
161	2427	12554
162	2440	12533
163	2455	12514
164	2471	12504
165	2485	12487
166	2499	12465
167	2512	12441
168	2525	12420
169	2541	12407
170	2555	12389
171	2571	12377
172	2587	12371
173	2605	12370
174	2620	12354
175	2637	12348
176	2651	12328
177	2664	12304
178	2677	12282
179	2691	12260
180	2704	12238
181	2719	12224
182	2733	12203
183	2748	12190
184	2762	12170
185	2776	12151
186	2790	12131
187	2805	12118
188	2820	12103
189	2835	12086
190	2852	12081
191	2868	12072
192	2882	12053
193	2895	12030
194	2909	12010
195	2923	11990
196	2936	11968
197	2949	11947
198	2964	11932
199	2978	11913
200	2995	11905
201	3011	11895
202	3026	11882
203	3041	11866
204	3061	11871
205	3081	11876
206	3098	11868
207	3117	11870
208	3136	11869
209	3154	11865
210	3170	11854
211	3188	11849
212	3203	11836
213	3221	11832
214	3244	11847
215	3261	11838
216	3278	11829
217	3293	11814
218	3309	11802
219	3323	11785
220	3338	11767
221	3352	11748
222	3365	11727
223	3380	11709
224	3392	11686
225	3407	11668
226	3422	11654
227	3437	11638
228	3452	11624
229	3467	11609
230	3483	11595
231	3498	11581
232	3512	11562
233	3525	11540
234	3539	11520
235	3554	11507
236	3568	11489
237	3585	11479
238	3601	11469
239	3617	11454
240	3632	11441
241	3647	11425
242	3664	11415
243	3681	11406
244	3697	11394
245	3713	11381
246	3727	11364
247	3743	11350
248	3760	11341
249	3775	11325
250	3788	11306
251	3802	11287
252	3816	11269
253	3831	11254
254	3846	11238
255	3862	11225
256	3879	11215
257	3894	11201
258	3910	11186
259	3927	11177
260	3942	11163
261	3957	11147
262	3973	11133
263	3992	11130
264	4008	11116
265	4022	11100
266	4037	11083
267	4059	11086
268	4075	11076
269	4092	11064
270	4107	11048
271	4122	11032
272	4136	11015
273	4150	10998
274	4166	10983
275	4181	10968
276	4198	10959
277	4214	10944
278	4242	10963
279	4258	10949
280	4274	10938
281	4291	10926
282	4306	10911
283	4323	10899
284	4337	10882
285	4351	10863
286	4365	10845
287	4378	10825
288	4393	10809
289	4406	10789
290	4421	10773
291	4435	10755
292	4451	10742
293	4467	10728
294	4483	10714
295	4499	10700
296	4514	10685
297	4528	10668
298	4543	10653
299	4557	10635
300	4572	10618
301	4591	10612
302	4605	10593
303	4619	10576
304	4634	10559
305	4649	10545
306	4665	10531
307	4683	10521
308	4698	10507
309	4714	10492
310	4728	10474
311	4742	10457
312	4757	10443
313	4771	10424
314	4784	10404
315	4800	10391
316	4814	10373
317	4828	10354
318	4843	10340
319	4860	10328
320	4876	10314
321	4891	10298
322	4907	10285
323	4920	10265
324	4934	10248
325	4948	10231
326	4963	10214
